Track Name,MSE Vocals,MSE Drums,MSE Bass,MSE Others
AM Contra - Heart Peripheral,0.0069440752267837524,0.011171435005962849,0.020518239587545395,0.03752697631716728
Al James - Schoolboy Facination,0.008620894514024258,0.020233266055583954,0.02703758142888546,0.021170729771256447
Angels In Amplifiers - I'm Alright,0.008211390115320683,0.01810971088707447,0.018408751115202904,0.008966547437012196
Arise - Run Run Run,0.005063914228230715,0.010854344815015793,0.009422141127288342,0.013410904444754124
BKS - Bulldozer,0.02398661896586418,0.00807447824627161,0.01625736430287361,0.008947554044425488
BKS - Too Much,0.007093635853379965,0.006535763386636972,0.013733183033764362,0.01145230047404766
Ben Carrigan - We'll Talk About It All Tonight,0.00835674162954092,0.0043104891665279865,0.01164030097424984,0.011660260148346424
Bobby Nobody - Stitch Up,0.006279733031988144,0.013237853534519672,0.0184510238468647,0.008158666081726551
Buitraker - Revo X,0.013354090973734856,0.03568006679415703,0.015677975490689278,0.009276446886360645
Carlos Gonzalez - A Place For Us,0.009957272559404373,0.009353718720376492,0.03572387620806694,0.013814222998917103
Cristina Vane - So Easy,0.0036178813315927982,0.007433630526065826,0.012415464036166668,0.010547281242907047
Detsky Sad - Walkie Talkie,0.035046644508838654,0.008680492639541626,0.015691140666604042,0.014579612761735916
Enda Reilly - Cur An Long Ag Seol,0.006051667034626007,0.0067171696573495865,0.008527496829628944,0.008214522153139114
Forkupines - Semantics,0.01141167338937521,0.010287773795425892,0.031212611123919487,0.013820119202136993
Georgia Wonder - Siren,0.008561996743083,0.008833697997033596,0.02947516180574894,0.014801444485783577
Girls Under Glass - We Feel Alright,0.007810782641172409,0.023416459560394287,0.040794555097818375,0.012032189406454563
Hollow Ground - Ill Fate,0.00755590433254838,0.011095447465777397,0.02428886853158474,0.009925291873514652
James Elder & Mark M Thompson - The English Actor,0.0132888900116086,0.028674039989709854,0.01414088997989893,0.009255582466721535
Juliet's Rescue - Heartbeats,0.00777546688914299,0.013291416689753532,0.01897924393415451,0.026139918714761734
Little Chicago's Finest - My Own,0.015458643436431885,0.01765509508550167,0.026396365836262703,0.006567845121026039
Louis Cressy Band - Good Time,0.014159394428133965,0.01958995684981346,0.02105884626507759,0.014101766981184483
Lyndsey Ollard - Catching Up,0.010995620861649513,0.0038653085939586163,0.012723308987915516,0.010732240043580532
M.E.R.C. Music - Knockout,0.007642867974936962,0.015524310059845448,0.032028891146183014,0.01283583976328373
Moosmusic - Big Dummy Shake,0.00908689945936203,0.012161744758486748,0.01209650095552206,0.008645200170576572
Motor Tapes - Shore,0.0412152037024498,0.019441578537225723,0.008461917750537395,0.005133075173944235
Mu - Too Bright,0.006743434816598892,0.006871416233479977,0.012728639878332615,0.014149896800518036
Nerve 9 - Pray For The Rain,0.005415266379714012,0.016283836215734482,0.023772690445184708,0.008144926279783249
PR - Happy Daze,0.03812920302152634,0.003421455854550004,0.02609003335237503,0.013739172369241714
PR - Oh No,0.026393316686153412,0.006395586300641298,0.03857036679983139,0.017065508291125298
Punkdisco - Oral Hygiene,0.01564662717282772,0.021806422621011734,0.04032360762357712,0.01724380813539028
Raft Monk - Tiring,0.00751495361328125,0.012284522876143456,0.021790441125631332,0.031028779223561287
Sambasevam Shanmugam - Kaathaadi,0.004527806770056486,0.009041659533977509,0.018152140080928802,0.008541197516024113
Secretariat - Borderline,0.006223191041499376,0.017797337844967842,0.014646628871560097,0.011477481573820114
Secretariat - Over The Top,0.010889559052884579,0.012744971551001072,0.007603180594742298,0.014952464029192924
Side Effects Project - Sing With Me,0.0055227684788405895,0.016874201595783234,0.024316933006048203,0.02793749049305916
Signe Jakobsen - What Have You Done To Me,0.008469011634588242,0.014314403757452965,0.02236282266676426,0.009937958791851997
Skelpolu - Resurrection,0.04729137197136879,0.014014625921845436,0.010933632962405682,0.04442186653614044
Speak Softly - Broken Man,0.010500282980501652,0.01188237126916647,0.009828665293753147,0.01764332689344883
Speak Softly - Like Horses,0.0118008553981781,0.006129558198153973,0.009466779418289661,0.007904774509370327
The Doppler Shift - Atrophy,0.0106067368760705,0.016634739935398102,0.013265986926853657,0.014841344207525253
The Easton Ellises (Baumi) - SDRNR,0.006188682280480862,0.01137132104486227,0.016995273530483246,0.04517952352762222
The Easton Ellises - Falcon 69,0.024364614859223366,0.014721154235303402,0.014856914058327675,0.018292920663952827
The Long Wait - Dark Horses,0.004812187515199184,0.010881221853196621,0.01925218664109707,0.010352203622460365
The Mountaineering Club - Mallory,0.012129220180213451,0.009965656325221062,0.03699890524148941,0.010129495523869991
The Sunshine Garcia Band - For I Am The Moon,0.004319732543081045,0.008636140264570713,0.008997316472232342,0.013351715169847012
Timboz - Pony,0.02256106585264206,0.009366394951939583,0.01148648839443922,0.012556894682347775
Tom McKenzie - Directions,0.005435756407678127,0.007634167559444904,0.022534437477588654,0.011687956750392914
Triviul feat. The Fiend - Widow,0.005946536082774401,0.018318673595786095,0.025326330214738846,0.020562412217259407
We Fell From The Sky - Not You,0.010384882800281048,0.012265359982848167,0.010118591599166393,0.005617487244307995
Zeno - Signs,0.010652448982000351,0.009007747285068035,0.030575279146432877,0.009810912422835827
